EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG10715	ECK4095	phnF	None	putative DNA-binding transcriptional regulator of phosphonate uptake and biodegradation	; 1790540	P16684	b4102
EG10716	ECK4094	phnG	None	ribophosphonate triphosphate synthase subunit	; 1790539	P16685	b4101
EG10717	ECK4093	phnH	None	ribophosphonate triphosphate synthase subunit	; 1790538	P16686	b4100
EG10718	ECK4092	phnI	None	ribophosphonate triphosphate synthase complex putative catalytic subunit	; 1790537	P16687	b4099
EG10719	ECK4091	phnJ	None	carbon-phosphorus lyase, SAM-dependent	; 1790536	P16688	b4098
EG10720	ECK4090	phnK	None	carbon-phosphorus lyase complex subunit, putative ATP transporter ATP-binding protein	; 48994997	P16678	b4097
EG10721	ECK4089	phnL	None	ribophosphonate triphosphate synthase subunit; putative ABC transporter-related ATPase	; 1790534	P16679	b4096
EG10722	ECK4088	phnM	None	ribophosphonate triphosphate hydrolase	; 1790533	P16689	b4095
EG10723	ECK4087	phnN	None	ribose 1,5-bisphosphokinase	; 1790532	P16690	b4094
EG10724	ECK4086	phnO	None	aminoalkylphosphonate N-acetyltransferase	; 1790531	P16691	b4093
EG10725	ECK4085	phnP	None	5-phospho-alpha-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	; 1790530	P16692	b4092
EG10727	ECK0378	phoA	psiA	bacterial alkaline phosphatase	; 48994877	P00634	b0383
EG10728	ECK0393	phoB	phoRc	response regulator in two-component regulatory system with PhoR	; 1786599	P0AFJ5	b0399
EG10729	ECK0242	phoE	ompE	outer membrane phosphoporin protein E	; 1786436	P02932	b0241
EG10730	ECK4391	creC	phoM	sensory histidine kinase in two-component regulatory system with CreB or PhoB	; 1790861	P08401	b4399
EG10731	ECK1116	phoP	None	response regulator in two-component regulatory system with PhoQ	; 1787375	P23836	b1130
EG10732	ECK1115	phoQ	None	sensory histidine kinase in two-component regulatory system with PhoP	; 1787374	P23837	b1129
EG10733	ECK0394	phoR	nmpB, phoR1, R1pho	sensory histidine kinase in two-component regulatory system with PhoB	; 1786600	P08400	b0400
EG10734	ECK3721	pstS	nmpA, phoR2a, phoS, R2pho	phosphate ABC transporter periplasmic binding protein	; 2367271	P0AG82	b3728
EG10735	ECK3717	phoU	phoT	negative regulator of PhoR/PhoB two-component regulator	; 1790161	P0A9K7	b3724
EG10736	ECK0697	phr	phrB	deoxyribodipyrimidine photolyase, FAD-binding	; 1786926	P00914	b0708
EG10737	ECK1144	pinE	pin	e14 prophage; site-specific DNA recombinase	1787404	P03014	b1158
EG10738	ECK3815	pldA	None	outer membrane phospholipase A	; 2367300	P0A921	b3821
EG10739	ECK3819	pldB	None	lysophospholipase L2	; 48994980	P07000	b3825
EG10740	ECK4033	plsB	None	glycerol-3-phosphate O-acyltransferase	; 87082362	P0A7A7	b4041
EG10741	ECK4230	pmbA	mcb, tldE	putative antibiotic peptide MccB17 maturation peptidase	; 1790682	P0AFK0	b4235
EG10742	ECK0922	pncB	None	nicotinate phosphoribosyltransferase	; 1787162	P18133	b0931
EG10743	ECK3152	pnp	bfl, pnpA	polynucleotide phosphorylase/polyadenylase	; 1789555	P05055	b3164
EG10744	ECK1598	pntA	None	pyridine nucleotide transhydrogenase, alpha subunit	; 1787887	P07001	b1603
EG10745	ECK1597	pntB	None	pyridine nucleotide transhydrogenase, beta subunit	; 1787886	P0AB67	b1602
EG10746	ECK3855	polA	resA	5' to 3' DNA polymerase and 3' to 5'/5' to 3' exonuclease	; 1790294	P00582	b3863
EG10747	ECK0061	polB	dinA	DNA polymerase II	; 1786246	P21189	b0060
EG10748	ECK3383	mrcA	ponA	penicillin-binding protein 1a, murein transglycosylase and transpeptidase	; 87082258	P02918	b3396
EG10749	ECK1112	potA	None	spermidine/putrescine ABC transporter ATPase	; 1787370	P69874	b1126
EG10750	ECK1111	potB	None	spermidine/putrescine ABC transporter permease	; 1787369	P0AFK4	b1125
EG10751	ECK1110	potC	None	spermidine/putrescine ABC transporter permease	; 1787368	P0AFK6	b1124
EG10752	ECK1109	potD	None	spermidine/putrescine ABC transporter periplasmic binding protein	; 1787367	P0AFK9	b1123
EG10753	ECK0680	potE	None	putrescine/proton symporter: putrescine/ornithine antiporter	; 1786908	P0AAF1	b0692
EG10754	ECK0862	poxB	None	pyruvate dehydrogenase, thiamine triphosphate-binding, FAD-binding	; 1787096	P07003	b0871
EG10755	ECK4222	ppa	None	inorganic pyrophosphatase	; 1790673	P0A7A9	b4226
EG10756	ECK3947	ppc	asp, glu	phosphoenolpyruvate carboxylase	; 1790393	P00864	b3956
EG10757	ECK3351	ppiA	rot, rotA	peptidyl-prolyl cis-trans isomerase A (rotamase A)	; 1789763	P0AFL3	b3363
EG10758	ECK0518	ppiB	None	peptidyl-prolyl cis-trans isomerase B (rotamase B)	; 1786736	P23869	b0525
EG10759	ECK1700	ppsA	pps	phosphoenolpyruvate synthase	; 1787994	P23538	b1702
EG10760	ECK1829	prc	tsp	carboxy-terminal protease for penicillin-binding protein 3	; 1788134	P23865	b1830
EG10761	ECK1199	prfA	sueB, uar, ups?	peptide chain release factor RF-1	; 1787462	P0A7I0	b1211
EG10762	ECK2886	prfB	supK	peptide chain release factor RF-2	; 367172	P07012	b2891
EG10763	ECK3927	priA	srgA	Primosome factor n' (replication factor Y)	; 1790370	P17888	b3935
EG10764	ECK4197	priB	None	primosomal protein N	; 1790645	P07013	b4201
EG10765	ECK0461	priC	None	primosomal replication protein N''	; 1786673	P23862	b0467
EG10766	ECK3287	secY	prlA	preprotein translocase membrane subunit	; 1789696	P0AGA2	b3300
EG10767	ECK0244	proA	pro(1)	gamma-glutamylphosphate reductase	; 1786438	P07004	b0243
EG10768	ECK0243	proB	pro(2)	gamma-glutamate kinase	; 1786437	P0A7B5	b0242
EG10769	ECK0381	proC	pro(3), Pro2	pyrroline-5-carboxylate reductase, NAD(P)-binding	; 1786585	P0A9L8	b0386
EG10770	ECK0194	proS	drpA	prolyl-tRNA synthetase	; 1786392	P16659	b0194
EG10771	ECK2671	proV	osrA, proU	glycine betaine/proline ABC transporter periplasmic binding protein	; 1789032	P14175	b2677
EG10772	ECK2672	proW	osrA, proU	glycine betaine/proline ABC transporter permease	; 1789033	P14176	b2678
EG10773	ECK2673	proX	osrA, proU	glycine betaine/proline ABC transporter periplasmic binding protein; cold shock protein	; 1789034	P0AFM2	b2679
EG10774	ECK1195	prs	dnaR, prsA	phosphoribosylpyrophosphate synthase	; 1787458	P0A717	b1207
EG10775	ECK4156	psd	None	phosphatidylserine decarboxylase	; 1790604	P0A8K1	b4160
EG10776	ECK1299	pspA	cog	regulatory protein for phage-shock-protein operon	; 2367118	P0AFM6	b1304
EG10777	ECK1300	pspB	None	psp operon transcription co-activator	; 1787563	P0AFM9	b1305
EG10778	ECK1301	pspC	None	psp operon transcription co-activator	; 1787564	P0AFN2	b1306
EG10779	ECK1302	pspD	None	peripheral inner membrane phage-shock protein	1787565	P0AFV8	b1307
EG10780	ECK1303	pspE	None	thiosulfate:cyanide sulfurtransferase (rhodanese)	; 1787567	P23857	b1308
EG10781	ECK2583	pssA	pss	phosphatidylserine synthase; CDP-diacylglycerol-serine O-phosphatidyltransferase	; 87082134	P23830	b2585
EG10782	ECK3719	pstA	phoR2b, phoT, R2pho	phosphate ABC transporter permease	; 1790163	P07654	b3726
EG10783	ECK3718	pstB	phoT	phosphate ABC transporter ATPase	; 1790162	P0AAH0	b3725
EG10784	ECK3720	pstC	phoW	phosphate ABC transporter permease	; 1790164	P0AGH8	b3727
EG10785	ECK1192	pth	asuA?, rap	peptidyl-tRNA hydrolase	; 1787455	P0A7D1	b1204
EG10786	ECK2817	ptrA	ptr	protease III	; 2367164	P05458	b2821
EG10787	ECK1087	ptsG	car, cat, CR, glcA, tgl, umg, umgC	fused glucose-specific PTS enzymes: IIB component/IIC component	; 1787343	P69786	b1101
EG10788	ECK2410	ptsH	ctr, hpr, iex?	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	; 1788755	P0AA04	b2415
EG10789	ECK2411	ptsI	ctr	PEP-protein phosphotransferase of PTS system (enzyme I)	; 1788756	P08839	b2416
EG10790	ECK4173	purA	None	adenylosuccinate synthetase	; 1790620	P0A7D4	b4177
EG10791	ECK2472	purC	ade(g)	phosphoribosylaminoimidazole-succinocarboxamide synthetase	; 1788820	P0A7D7	b2476
EG10792	ECK3997	purD	adth(a)	phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase	; 1790438	P15640	b4005
EG10793	ECK0516	purE	ade(f), ade3, Pur2	N5-carboxyaminoimidazole ribonucleotide mutase	; 1786734	P0AG18	b0523
EG10794	ECK2306	purF	ade(ub), purC	amidophosphoribosyltransferase	; 1788651	P0AG16	b2312
EG10795	ECK3998	purH	None	IMP cyclohydrolase and phosphoribosylaminoimidazolecarboxamide formyltransferase	; 1790439	P15639	b4006
EG10796	ECK0515	purK	purE2	N5-carboxyaminoimidazole ribonucleotide synthase	; 1786733	P09029	b0522
EG10797	ECK2555	purL	purG(S.t.), purI	phosphoribosylformyl-glycineamide synthetase	; 48994899	P15254	b2557
EG10798	ECK2495	purM	purG, purI(S.t.)	phosphoribosylaminoimidazole synthetase	; 1788845	P08178	b2499
EG10799	ECK2496	purN	ade(c)	phosphoribosylglycinamide formyltransferase 1	; 1788846	P08179	b2500
EG10800	ECK1654	purR	None	transcriptional repressor, hypoxanthine-binding	; 1787948	P0ACP7	b1658
EG10801	ECK1005	putA	poaA, putC	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	; 1787250	P09546	b1014
EG10802	ECK1006	putP	putC	proline:sodium symporter	; 1787251	P07117	b1015
EG10803	ECK1855	pykA	None	pyruvate kinase II	; 1788160	P21599	b1854
EG10804	ECK1672	pykF	None	pyruvate kinase I	; 1787965	P0AD61	b1676
EG10805	ECK4240	pyrB	None	aspartate carbamoyltransferase, catalytic subunit	; 2367364	P0A786	b4245
EG10806	ECK1047	pyrC	None	dihydro-orotase	; 1787301	P05020	b1062
EG10807	ECK0936	pyrD	None	dihydro-orotate oxidase, FMN-linked	; 1787177	P0A7E1	b0945
EG10808	ECK3632	pyrE	None	orotate phosphoribosyltransferase	; 1790073	P0A7E3	b3642
EG10809	ECK1276	pyrF	None	orotidine-5'-phosphate decarboxylase	; 1787537	P08244	b1281
EG10810	ECK2774	pyrG	None	CTP synthetase	; 1789142	P0A7E5	b2780
EG10811	ECK4239	pyrI	None	aspartate carbamoyltransferase, regulatory subunit	; 1790692	P0A7F3	b4244
EG10812	ECK0399	queA	None	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	; 1786606	P0A7F9	b0405
EG10813	ECK1348	racC	sbcA	Rac prophage; uncharacterized protein	; 1787614	P15033	b1351
EG10814	ECK3743	rbsA	rbsP, rbsT	D-ribose ABC transporter ATPase	; 1790190	P04983	b3749
EG10815	ECK3745	rbsB	prlB, rbsP	D-ribose ABC transporter periplasmic binding protein; ribose chemotaxis receptor	; 1790192	P02925	b3751
EG10816	ECK3744	rbsC	rbsP, rbsT	D-ribose ABC transporter permease	; 1790191	P0AGI1	b3750
EG10817	ECK3742	rbsD	rbsP	D-ribose pyranase	; 87082327	P04982	b3748
EG10818	ECK3746	rbsK	None	ribokinase	; 1790193	P0A9J6	b3752
EG10819	ECK3747	rbsR	None	transcriptional repressor of ribose metabolism	; 1790194	P0ACQ0	b3753
EG10820	ECK1949	rcsA	cpsR	transcriptional regulator of colanic acid capsular biosynthesis	; 1788262	P69405	b1951
EG10821	ECK2210	rcsB	viaA	response regulator in two-component regulatory system with RcsC and YojN	; 1788546	P69407	b2217
EG10822	ECK2211	rcsC	None	hybrid sensory kinase in two-component regulatory system with RcsB and YojN	; 1788548	P14376	b2218
EG10823	ECK2694	recA	lexB, recH, rnmB, srf, tif, umuB, umuR, zab	DNA recombination and repair protein; ssDNA-dependent ATPase; synaptase; ssDNA and dsDNA binding protein; ATP-dependent homologous DNA strand exchanger; recombinase A; LexA autocleavage cofactor	; 1789051	P0A7G6	b2699
EG10824	ECK2816	recB	ior, rorA	exonuclease V (RecBCD complex), beta subunit	; 1789183	P08394	b2820
EG10825	ECK2818	recC	None	exonuclease V (RecBCD complex), gamma chain	; 1789186	P07648	b2822
EG10826	ECK2815	recD	hopE	exonuclease V (RecBCD complex), alpha chain	; 1789182	P04993	b2819
EG10827	ECK1347	recE	rmuB, sbcA	Rac prophage; exonuclease VIII, 5' to 3' specific dsDNA exonuclease	; 1787612	P15032	b1350
EG10828	ECK3692	recF	uvrF	gap repair protein	; 1790135	P0A7H0	b3700
EG10829	ECK3642	recG	radC, spoV	ATP-dependent DNA helicase	; 2367254	P24230	b3652
EG10830	ECK2887	recJ	None	ssDNA exonuclease, 5' --> 3'-specific	; 1789259	P21893	b2892
EG10831	ECK2612	recN	radB	recombination and repair protein	; 48994901	P05824	b2616
EG10832	ECK2563	recO	None	gap repair protein	; 2367140	P0A7H3	b2565
EG10833	ECK3816	recQ	None	ATP-dependent DNA helicase	; 48994977	P15043	b3822
EG10834	ECK0466	recR	None	gap repair protein	; 1786678	P0A7H6	b0472
EG10835	ECK2778	relA	RC	(p)ppGpp synthetase I/GTP pyrophosphokinase	; 1789147	P0AG20	b2784
EG10836	ECK1558	relB	RC	antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor	; 1787847	P0C079	b1564
EG10837	ECK3770	rep	dasC, mbrA, mmrA?	DNA helicase and single-stranded DNA-dependent ATPase	; 48994965	P09980	b3778
EG10838	ECK3609	hldD	gmhD, htrM, nbsB, rfaD, waaD	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding	; 1790049	P67910	b3619
EG10839	ECK3834	rfaH	hlyT, sfrB	transcription antitermination protein	; 1790276	P0AFW0	b3842
EG10840	ECK3776	wecA	rfe	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase	; 1790218	P0AC78	b3784
EG10841	ECK1923	fliD	flbC, rfs	flagellar filament capping protein	; 1788233	P24216	b1924
EG10842	ECK3899	rhaR	rhaC1	transcriptional activator of rhaSR	; 1790340	P09378	b3906
EG10843	ECK3898	rhaS	rhaC2	transcriptional activator of rhaBAD and rhaT	; 1790339	P09377	b3905
EG10844	ECK3772	rhlB	mmrA?	ATP-dependent RNA helicase	; 1790214	P0A8J8	b3780
EG10845	ECK3775	rho	hdf, nitA, nusD, psuA, rnsC, sbaA, sun, tabC, tsu	transcription termination factor	; 1790217	P0AG30	b3783
EG10846	ECK3582	rhsA	None	Rhs protein with putative toxin 55 domain; putative polysaccharide synthesis/export protein; putative neighboring cell growth inhibitor	; 1790020	P16916	b3593
EG10847	ECK3466	rhsB	None	Rhs protein with DUF4329 family putative toxin domain; putative neighboring cell growth inhibitor	48994942	P16917	b3482
EG10848	ECK0689	rhsC	None	Rhs protein with putative toxin domain; putative neighboring cell growth inhibitor	1786917	P16918	b0700
EG10849	ECK0491	rhsD	None	Rhs protein with DUF4329 family putative toxin domain; putative neighboring cell growth inhibitor	; 1786706	P16919	b0497
EG10850	ECK4364	rimI	None	ribosomal-protein-S18-alanine N-acetyltransferase	; 2367381	P0A944	b4373
EG10851	ECK1051	rimJ	tcp	ribosomal-protein-S5-alanine N-acetyltransferase	; 1787305	P0A948	b1066
EG10852	ECK0843	rimK	nek	ribosomal protein S6 modification protein	; 1787076	P0C0U4	b0852
EG10853	ECK1420	rimL	None	ribosomal-protein-L7/L12-serine acetyltransferase	; 1787697	P13857	b1427
EG10854	ECK0626	rlpA	None	septal ring protein, suppressor of prc, minor lipoprotein	; 1786852	P10100	b0633
EG10855	ECK0634	lptE	rlpB	LPS assembly OM complex LptDE, lipoprotein component	; 1786860	P0ADC1	b0641
EG10856	ECK0604	rna	rnsA	ribonuclease I	; 1786828	P21338	b0611
EG10857	ECK2565	rnc	ranA	RNase III	; 1788920	P0A7Y0	b2567
EG10858	ECK1802	rnd	None	ribonuclease D	; 1788105	P09155	b1804
EG10859	ECK1069	rne	ams, hmp1, smbB	endoribonuclease; RNA-binding protein;RNA degradosome binding protein	; 1787325	P21513	b1084
EG10860	ECK0214	rnhA	cer, dasF, herA, rnh, sdrA, sin	ribonuclease HI, degrades RNA of DNA-RNA hybrids	; 1786408	P0A7Y4	b0214
EG10861	ECK0182	rnhB	None	ribonuclease HII, degrades RNA of DNA-RNA hybrids	; 1786380	P10442	b0183
EG10862	ECK3696	rnpA	None	protein C5 component of RNase P	; 1790139	P0A7Y8	b3704
EG10863	ECK3633	rph'	orfE	ribonuclease PH (defective)	; 1790074	P0CG19	b3643
EG10864	ECK3975	rplA	rpy	50S ribosomal subunit protein L1	; 1790416	P0A7L0	b3984
EG10865	ECK3304	rplB	None	50S ribosomal subunit protein L2	; 1789713	P60422	b3317
EG10866	ECK3307	rplC	None	50S ribosomal subunit protein L3	; 1789716	P60438	b3320
EG10867	ECK3306	rplD	eryA	50S ribosomal subunit protein L4	; 1789715	P60723	b3319
EG10868	ECK3295	rplE	None	50S ribosomal subunit protein L5	; 1789704	P62399	b3308
EG10869	ECK3292	rplF	None	50S ribosomal subunit protein L6	; 1789701	P0AG55	b3305
EG10870	ECK4199	rplI	None	50S ribosomal subunit protein L9	; 1790647	P0A7R1	b4203
EG10871	ECK3976	rplJ	None	50S ribosomal subunit protein L10	; 1790417	P0A7J3	b3985
EG10872	ECK3974	rplK	relC	50S ribosomal subunit protein L11	; 2367334	P0A7J7	b3983
EG10873	ECK3977	rplL	None	50S ribosomal subunit protein L7/L12	; 1790418	P0A7K2	b3986
EG10874	ECK3220	rplM	None	50S ribosomal subunit protein L13	; 1789626	P0AA10	b3231
EG10875	ECK3297	rplN	None	50S ribosomal subunit protein L14	; 1789706	P0ADY3	b3310
EG10876	ECK3288	rplO	None	50S ribosomal subunit protein L15	; 1789697	P02413	b3301
EG10877	ECK3300	rplP	None	50S ribosomal subunit protein L16	; 1789709	P0ADY7	b3313
EG10878	ECK3281	rplQ	None	50S ribosomal subunit protein L17	; 1789689	P0AG44	b3294
EG10879	ECK3291	rplR	None	50S ribosomal subunit protein L18	; 1789700	P0C018	b3304
EG10880	ECK2603	rplS	None	50S ribosomal subunit protein L19	; 1788958	P0A7K6	b2606
EG10881	ECK1714	rplT	pdzA	50S ribosomal subunit protein L20	; 1788009	P0A7L3	b1716
EG10882	ECK3302	rplV	eryB	50S ribosomal subunit protein L22	; 1789711	P61175	b3315
EG10883	ECK3305	rplW	None	50S ribosomal subunit protein L23	; 1789714	P0ADZ0	b3318
EG10884	ECK3296	rplX	None	50S ribosomal subunit protein L24	; 1789705	P60624	b3309
EG10885	ECK2179	rplY	None	50S ribosomal subunit protein L25	; 1788512	P68919	b2185
EG10886	ECK3627	rpmB	None	50S ribosomal subunit protein L28	; 1790068	P0A7M2	b3637
EG10887	ECK3299	rpmC	None	50S ribosomal subunit protein L29	; 1789708	P0A7M6	b3312
EG10888	ECK3289	rpmD	None	50S ribosomal subunit protein L30	; 1789698	P0AG51	b3302
EG10889	ECK3928	rpmE	None	50S ribosomal subunit protein L31	; 1790371	P0A7M9	b3936
EG10890	ECK1075	rpmF	None	50S ribosomal subunit protein L32	; 1787330	P0A7N4	b1089
EG10891	ECK3626	rpmG	None	50S ribosomal subunit protein L33	; 1790067	P0A7N9	b3636
EG10892	ECK3695	rpmH	rimA, ssaF	50S ribosomal subunit protein L34	; 1790138	P0A7P5	b3703
EG10893	ECK3282	rpoA	pez, phs, sez	RNA polymerase, alpha subunit	; 1789690	P0A7Z4	b3295
EG10894	ECK3978	rpoB	ftsR, groN, mbrD?, nitB, rif, ron, sdgB, stl, stv, tabD, tabG	RNA polymerase, beta subunit	; 1790419	P0A8V2	b3987
EG10895	ECK3979	rpoC	tabB	RNA polymerase, beta prime subunit	; 2367335	P0A8T7	b3988
EG10896	ECK3057	rpoD	alt	RNA polymerase, sigma 70 (sigma D) factor	; 1789448	P00579	b3067
EG10897	ECK3445	rpoH	fam, hin, htpR	RNA polymerase, sigma 32 (sigma H) factor	; 1789871	P0AGB3	b3461
EG10898	ECK3191	rpoN	glnF, ntrA	RNA polymerase, sigma 54 (sigma N) factor	; 1789594	P24255	b3202
EG10899	ECK3639	rpoZ	spoS	RNA polymerase, omega subunit	; 1790081	P0A800	b3649
EG10900	ECK0902	rpsA	ssyF	30S ribosomal subunit protein S1	; 1787140	P0AG67	b0911
EG10901	ECK0168	rpsB	None	30S ribosomal subunit protein S2	; 1786365	P0A7V0	b0169
EG10902	ECK3301	rpsC	None	30S ribosomal subunit protein S3	; 1789710	P0A7V3	b3314
EG10903	ECK3283	rpsD	ramA, sud(2)	30S ribosomal subunit protein S4	; 1789691	P0A7V8	b3296
EG10904	ECK3290	rpsE	eps, spc, spcA	30S ribosomal subunit protein S5	; 1789699	P0A7W1	b3303
EG10905	ECK4196	rpsF	sdgH	30S ribosomal subunit protein S6	; 1790644	P02358	b4200
EG10906	ECK3328	rpsG	None	30S ribosomal subunit protein S7	; 1789739	P02359	b3341
EG10907	ECK3293	rpsH	None	30S ribosomal subunit protein S8	; 1789702	P0A7W7	b3306
EG10908	ECK3219	rpsI	None	30S ribosomal subunit protein S9	; 1789625	P0A7X3	b3230
EG10909	ECK3308	rpsJ	nusE	30S ribosomal subunit protein S10	; 1789717	P0A7R5	b3321
EG10910	ECK3284	rpsK	None	30S ribosomal subunit protein S11	; 1789692	P0A7R9	b3297
EG10911	ECK3329	rpsL	asuB, strA	30S ribosomal subunit protein S12	; 1789740	P0A7S3	b3342
EG10912	ECK3285	rpsM	None	30S ribosomal subunit protein S13	; 1789693	P0A7S9	b3298
EG10913	ECK3294	rpsN	None	30S ribosomal subunit protein S14	; 1789703	P0AG59	b3307
EG10914	ECK3154	rpsO	secC	30S ribosomal subunit protein S15	; 1789556	P0ADZ4	b3165
EG10915	ECK2606	rpsP	None	30S ribosomal subunit protein S16	; 1788961	P0A7T3	b2609
EG10916	ECK3298	rpsQ	neaA	30S ribosomal subunit protein S17	; 1789707	P0AG63	b3311
EG10917	ECK4198	rpsR	None	30S ribosomal subunit protein S18	; 1790646	P0A7T7	b4202
EG10918	ECK3303	rpsS	None	30S ribosomal subunit protein S19	; 1789712	P0A7U3	b3316
EG10919	ECK0024	rpsT	sup(s20)	30S ribosomal subunit protein S20	; 1786206	P0A7U7	b0023
EG10920	ECK3055	rpsU	None	30S ribosomal subunit protein S21	; 1789446	P68679	b3065
EG10921	ECK1904	ftnA	ftn, gen-165, rsgA	ferritin iron storage protein (cytoplasmic)	; 1788216	P0A998	b1905
EG10922	ECK3966	coaA	panK, rts, ts-9	pantothenate kinase	; 1790409	P0A6I3	b3974
EG10923	ECK1862	ruvA	None	component of RuvABC resolvasome, regulatory subunit	; 1788168	P0A809	b1861
EG10924	ECK1861	ruvB	None	ATP-dependent DNA helicase, component of RuvABC resolvasome	; 1788167	P0A812	b1860
EG10925	ECK1864	ruvC	None	component of RuvABC resolvasome, endonuclease	; 1788170	P0A814	b1863
EG10926	ECK2005	sbcB	cpeA, xonA	exodeoxyribonuclease I; exonuclease I	; 1788321	P04995	b2011
EG10927	ECK0391	sbcC	rmuA	exonuclease, dsDNA, ATP-dependent	; 1786597	P13458	b0397
EG10928	ECK0372	sbmA	None	peptide antibiotic transporter	; 1786575	P0AFY6	b0377
EG10929	ECK3909	sbp	None	sulfate transporter subunit	; 1790351	P0AG78	b3917
EG10930	ECK1812	sdaA	None	L-serine dehydratase 1	; 1788116	P16095	b1814
EG10931	ECK0712	sdhA	None	succinate dehydrogenase, flavoprotein subunit	; 1786942	P0AC41	b0723
EG10932	ECK0713	sdhB	None	succinate dehydrogenase, FeS subunit	; 1786943	P07014	b0724
EG10933	ECK0710	sdhC	cybA	succinate dehydrogenase, membrane subunit, binds cytochrome b556	; 1786940	P69054	b0721
EG10934	ECK0711	sdhD	None	succinate dehydrogenase, membrane subunit, binds cytochrome b556	; 1786941	P0AC44	b0722
EG10935	ECK1915	sdiA	uvrX	quorum-sensing transcriptional activator	; 1788224	P07026	b1916
EG10936	ECK0099	secA	azi, pea, prlD	preprotein translocase subunit, ATPase	; 1786287	P10408	b0098
EG10937	ECK3599	secB	None	protein export chaperone	; 1790038	P0AG86	b3609
EG10938	ECK0402	secD	None	SecYEG protein translocase auxillary subunit	; 1786609	P0AG90	b0408
EG10939	ECK3972	secE	mbrC, prlG	preprotein translocase membrane subunit	; 1790413	P0AG96	b3981
EG10940	ECK0403	secF	None	SecYEG protein translocase auxillary subunit	; 1786610	P0AG93	b0409
EG10941	ECK3580	selA	fdhA	selenocysteine synthase	; 2367248	P0A821	b3591
EG10942	ECK3579	selB	fdhA	selenocysteinyl-tRNA-specific translation factor	; 2367247	P14081	b3590
EG10943	ECK1762	selD	fdhB	selenophosphate synthase	; 1788062	P16456	b1764
EG10944	ECK2909	serA	None	D-3-phosphoglycerate dehydrogenase	; 1789279	P0A9T0	b2913
EG10945	ECK4380	serB	None	3-phosphoserine phosphatase	; 1790849	P0AGB0	b4388
EG10946	ECK0898	serC	pdxC, pdxF	3-phosphoserine/phosphohydroxythreonine aminotransferase	; 1787136	P23721	b0907
EG10947	ECK0884	serS	None	seryl-tRNA synthetase	; 1787120	P0A8L1	b0893
EG10948	ECK1473	maeA	sfcA	malate dehydrogenase, decarboxylating, NAD-requiring; malic enzyme	; 87081919	P26616	b1479
EG10949	ECK0145	sfsA	sfs, sfs1	sugar fermentation stimulation protein A	; 1786340	P0A823	b0146
EG10950	ECK4384	slt	sltY	lytic murein transglycosylase, soluble	; 87082441	P0AGC3	b4392
EG10951	ECK4379	ytjB	smp	SMP_2 family putative membrane-anchored periplasmic protein	; 1790847	P0AGC7	b4387
EG10952	ECK2613	bamE	smpA, smqA	lipoprotein component of BamABCDE OM biogenesis complex	87082138	P0A937	b2617
EG10953	ECK3901	sodA	None	superoxide dismutase, Mn	; 1790342	P00448	b3908
EG10954	ECK1652	sodB	None	superoxide dismutase, Fe	; 1787946	P0AGD3	b1656
EG10955	ECK3117	prlF	sohA	antitoxin of the SohA(PrlF)-YhaV toxin-antitoxin system	; 1789517	P15373	b3129
EG10956	ECK1266	sohB	None	inner membrane protein, S49 peptidase family protein	; 1787527	P0AG14	b1272
EG10957	ECK4055	soxR	marC	redox-sensitive transcriptional activator of soxS; autorepressor	; 1790498	P0ACS2	b4063
EG10958	ECK4054	soxS	None	superoxide response regulon transcriptional activator; autoregulator	; 1790497	P0A9E2	b4062
EG10959	ECK2933	speA	None	biosynthetic arginine decarboxylase, PLP-binding	; 1789307	P21170	b2938
EG10960	ECK2932	speB	None	agmatinase	; 1789306	P60651	b2937
EG10961	ECK2960	speC	None	ornithine decarboxylase, constitutive	; 87082193	P21169	b2965
EG10962	ECK0119	speD	None	S-adenosylmethionine decarboxylase	; 1786311	P0A7F6	b0120
EG10963	ECK0120	speE	None	spermidine synthase (putrescine aminopropyltransferase)	; 1786312	P09158	b0121
EG10964	ECK0681	speF	None	ornithine decarboxylase isozyme, inducible	; 1786909	P24169	b0693
EG10965	ECK3638	gmk	spoR	guanylate kinase	; 1790080	P60546	b3648
EG10966	ECK3640	spoT	None	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	; 1790082	P0AG24	b3650
EG10967	ECK3641	trmH	spoU	tRNA mG18-2'-O-methyltransferase, SAM-dependent	; 1790083	P0AGJ2	b3651
EG10968	ECK1764	sppA	None	protease IV (signal peptide peptidase)	; 1788064	P08395	b1766
EG10969	ECK2697	srlA	gutA, sbl	glucitol/sorbitol-specific enzyme IIC component of PTS	; 48994904	P56579	b2702
EG10970	ECK2699	srlB	gutB	glucitol/sorbitol-specific enzyme IIA component of PTS	; 1789056	P05706	b2704
