,LocusTag,Length,Entry,EntryName,Status,ProteinNames,GeneNames,LocusTag,UpdatedSymbol,Symbol_gtf,x77459_Emp1_1,x77460_Emp2_2,x77461_Emp3_3,x77456_TosR1_1,x77457_TosR2_2,x77458_TosR3_3,logFC,logCPM,LR,PValue,FDR,DE
947,c1734,291,Q8FHV4,RLUB_ECOL6,reviewed,Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B),rluB c1734,c1734,rluB,yciL,7.088800894,6.164807466,5.680871643,6.353048991,22.22649215,4.770572346,0.80102865,3.118475953,2.472217704,0.115874328,0.487466048,no
2925,c5208,187,A0A0H2VG40,A0A0H2VG40_ECOL6,unreviewed,Uncharacterized protein,c5208,c5208,,c5208,2.590138788,1.906641484,2.417392188,2.252444642,5.995303804,3.115475817,0.686565635,1.638571223,2.46721419,0.11624379,0.488376872,no
2162,c3916,629,P0A9P7,DEAD_ECOL6,reviewed,ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A),deaD c3916,c3916,deaD,deaD,43.21442084,20.78239218,16.80087571,30.8411651,83.20311865,23.07399277,0.761822405,5.180176696,2.461995285,0.116630544,0.489357853,no
925,c1701,137,P0ACF9,HNS_ECOL6,reviewed,DNA-binding protein H-NS (Histone-like protein HLP-II) (Protein B1) (Protein H1),hns c1701,c1701,hns,hns,291.8677445,157.0437036,145.768749,138.496468,94.02391088,151.1005771,-0.631462271,7.350353518,2.453374178,0.117272538,0.48995476,no
1786,c3217,174,A0A0H2VA14,A0A0H2VA14_ECOL6,unreviewed,Uncharacterized protein,ygaP c3217,c3217,ygaP,ygaP,11.587463,7.181682924,6.043480471,7.277128844,1.316042298,5.5494413,-0.774284822,2.748347698,2.454380743,0.117197381,0.48995476,no
781,c1378,214,A0A0H2V7A3,A0A0H2V7A3_ECOL6,unreviewed,Penicillin-binding protein activator LpoB (PBP activator LpoB),ycfM lpoB c1378,c1378,"ycfM,lpoB",ycfM,8.724678024,7.626565938,8.944351097,5.082439192,4.386807661,7.496613686,-0.566435023,2.849585323,2.451446608,0.117416614,0.48995476,no
662,c1157,423,Q8CW71,EFEB_ECOL6,reviewed,Deferrochelatase/peroxidase EfeB (EC 1.11.1.-),efeB c1157,c1157,efeB,ycdB,26.44668026,50.52599934,58.86349979,37.36747906,71.79741873,107.3865571,0.670684577,5.879822539,2.457100149,0.116994596,0.48995476,no
1187,c2188,644,P0ACY4,YEAG_ECOL6,reviewed,Uncharacterized protein YeaG,yeaG c2188,c2188,yeaG,yeaG,103.8781977,41.81900322,64.06089299,73.29108335,7.16511918,29.7917375,-0.922764383,5.742621397,2.449797381,0.11754004,0.48995476,no
3101,c5521,NA,NA,NA,NA,NA,NA,NA,NA,glnW,5.861893047,5.338596156,6.406089299,9.471818495,17.69345757,3.212834437,0.777502733,3.011107647,2.44749699,0.117712437,0.490033654,no
576,c1016,114,A0A0H2V6J1,A0A0H2V6J1_ECOL6,unreviewed,Uncharacterized protein,c1016,c1016,,c1016,2.999108071,3.241290523,4.23043633,4.620399266,4.533034584,6.230951635,0.558011281,2.16917281,2.438718447,0.118372899,0.491020772,no
2670,c4730,274,Q8FBN6,DAPF_ECOL6,reviewed,Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase),dapF c4730,c4730,dapF,dapF,36.80723541,36.28974292,39.40349267,33.20911972,18.42459218,26.38418583,-0.521883373,4.999219579,2.439599567,0.118306423,0.491020772,no
2628,c4678,321,P0AGI2,RBSC_ECOL6,reviewed,Ribose import permease protein RbsC,rbsC c4678,c4678,rbsC,rbsC,5.316600671,5.719924453,14.26261391,5.948764055,29.68406518,10.41737226,0.856247017,3.561630506,2.43821505,0.118410897,0.491020772,no
1787,c3218,134,A0A0H2VCA0,A0A0H2VCA0_ECOL6,unreviewed,DNA-binding protein,stpA c3218,c3218,stpA,stpA,0.954261659,1.461758471,1.450435313,1.963669688,3.070765363,1.460379289,0.675611938,0.919480453,2.427959077,0.119187987,0.493602129,no
80,c0128,311,A0A0H2V5W9,A0A0H2V5W9_ECOL6,unreviewed,Nicotinate-nucleotide pyrophosphorylase (Carboxylating) (EC 2.4.2.19),nadC c0128,c0128,nadC,nadC,5.725569953,3.876837685,4.955653986,3.580809431,3.070765363,3.115475817,-0.545893356,2.070907787,2.423324639,0.119540985,0.494422752,no
2030,c3689,246,A0A0H2VDC2,A0A0H2VDC2_ECOL6,unreviewed,3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase),kdsB c3689,c3689,kdsB,c3689,19.90317174,32.92134296,42.78784173,13.8611978,23.98121522,25.60531688,-0.596835899,4.736464785,2.418110213,0.119939544,0.495429449,no
2496,c4427,396,Q8FCB1,LLDD_ECOL6,reviewed,L-lactate dehydrogenase (EC 1.1.-.-),lldD c4427,c4427,lldD,lldD,9.542616588,12.2025055,11.12000407,14.09221776,28.07556903,9.541144691,0.641510507,3.825743986,2.413432233,0.120298352,0.49626956,no
2948,c5240,131,P0A8Q1,FRDC_ECOL6,reviewed,Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein),frdC c5240,c5240,frdC,frdC,23.72021838,11.37629419,14.62522274,17.78853717,1.608496143,6.620386112,-0.91282332,3.684327498,2.410583689,0.120517422,0.49653178,no
619,c1072,466,P0A8M1,SYN_ECOL6,reviewed,Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS),asnS c1072,c1072,asnS,asnS,23.72021838,20.65528275,16.6800061,14.38099272,57.46718037,27.06569616,0.689885645,4.73502108,2.407224485,0.120776333,0.496957257,no
686,c1208,125,A0A0H2V626,A0A0H2V626_ECOL6,unreviewed,Uncharacterized protein,c1208,c1208,,c1208,3.817046635,4.830158427,6.043480471,7.68141378,9.066069167,5.354724061,0.580097052,2.656469762,2.402181731,0.121166161,0.497661817,no
1245,c2274,336,Q8FGR3,RUVB_ECOL6,reviewed,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),ruvB c2274,c2274,ruvB,ruvB,7.225123988,7.626565938,8.944351097,12.18630306,12.13683453,9.73586193,0.517352044,3.297593706,2.398970316,0.121415144,0.497661817,no
485,c0848,761,A0A0H2V5D4,A0A0H2V5D4_ECOL6,unreviewed,Uncharacterized protein,ybhJ c0848,c0848,ybhJ,ybhJ,1.090584753,1.970196201,3.263479454,2.425709615,4.825488428,3.212834437,0.687371406,1.546845486,2.400783431,0.121274502,0.497661817,no
869,c1616,109,P0AB47,YMGD_ECOL6,reviewed,Uncharacterized protein YmgD,ymgD c1616,c1616,ymgD,ymgD,1.635877129,2.097305633,1.813044141,2.252444642,2.632084597,3.796986153,0.613018206,1.356490051,2.396707544,0.121590919,0.497743339,no
2166,c3921,89,P0ADZ5,RS15_ECOL6,reviewed,30S ribosomal protein S15,rpsO c3921,c3921,rpsO,rpsO,127.8710623,221.5517405,174.6565856,169.0488581,424.6429816,236.3867277,0.662470743,7.818721046,2.382852811,0.122673342,0.500890003,no
371,c0652,317,A0A0H2V511,A0A0H2V511_ECOL6,unreviewed,Protease VII (EC 3.4.23.49),ompT c0652,c0652,ompT,ompT,23.58389528,27.51919209,43.87566822,18.59710705,5.264169194,31.64155127,-0.76933574,4.661580573,2.38455435,0.122539833,0.500890003,no
1929,c3504,387,P0A7A0,PGK_ECOL6,reviewed,Phosphoglycerate kinase (EC 2.7.2.3),pgk c3504,c3504,pgk,pgk,213.4819654,136.8333039,115.3096074,145.8891068,48.25488428,96.09295725,-0.680001693,6.979637367,2.377815601,0.123069528,0.501865903,no
602,c1049,557,P0AG68,RS1_ECOL6,reviewed,30S ribosomal protein S1,rpsA c1049,c1049,rpsA,rpsA,274.8273577,590.868196,382.5523138,330.0120176,870.488867,822.3882572,0.696096796,9.090958933,2.372244668,0.123509345,0.503017015,no
1058,c1967,67,P64464,YDFZ_ECOL6,reviewed,Putative selenoprotein YdfZ,ydfZ c1967,c1967,ydfZ,ydfZ,15.54083273,14.36336585,9.427829535,12.82160796,5.70284996,7.009820589,-0.605834152,3.468733563,2.364659089,0.124111024,0.504823565,no
25,c0041,1073,Q8FLB0,CARB_ECOL6,reviewed,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain),carB c0041,c0041,carB,carB,13.22334013,20.33750917,26.22870524,19.11690196,22.66517292,52.57365442,0.656505266,4.694395824,2.359882435,0.124491571,0.505727209,no
795,c1398,348,A0A0H2V7B6,A0A0H2V7B6_ECOL6,unreviewed,Putrescine-binding periplasmic protein,potD c1398,c1398,potD,potD,18.94891008,26.94719965,23.44870423,12.82160796,13.16042298,21.80833072,-0.539567452,4.302887864,2.354661296,0.124909012,0.506778242,no
1954,c3548,360,A0A0H2VBZ5,A0A0H2VBZ5_ECOL6,unreviewed,A/G-specific adenine glycosylase (EC 3.2.2.-),mutY c3548,c3548,mutY,mutY,7.225123988,9.024769693,8.34000305,9.876103431,11.84438069,13.72756532,0.518165293,3.34952664,2.350983717,0.125203976,0.507330325,no
964,c1753,72,P0ADA8,OSMB_ECOL6,reviewed,Osmotically-inducible lipoprotein B,osmB c1753,c1753,osmB,osmB,18.81258699,25.04055816,16.92174532,26.91382572,32.90105746,27.06569616,0.508958252,4.632623311,2.347187376,0.125509278,0.50752724,no
2408,c4258,198,P0ADY0,RSMD_ECOL6,reviewed,Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase),rsmD c4258,c4258,rsmD,yhhF,8.315708741,9.660316854,9.911307972,6.757333926,6.287757648,6.328310254,-0.524452912,3.012187914,2.346427664,0.125570473,0.50752724,no
1895,c3447,592,A0A0H2VA80,A0A0H2VA80_ECOL6,unreviewed,Hypothetical sigma-54-dependent transcriptional regulator ygeV,ygeV c3447,c3447,ygeV,ygeV,9.406293494,8.961214977,18.49305024,8.316718679,6.580211492,9.443786072,-0.588024628,3.371588808,2.339534587,0.126127232,0.509133062,no
2891,c5136,57,P64647,GHOT_ECOL6,reviewed,Toxin GhoT,ghoT c5136,c5136,ghoT,c5136,0.681615471,2.79640751,2.17565297,3.176524495,3.655673051,2.628682721,0.671621336,1.458379956,2.334268773,0.126554405,0.510212393,no
1086,c2014,390,A0A0H2V8U1,A0A0H2V8U1_ECOL6,unreviewed,MalY protein,malY c2014,c2014,malY,malY,5.452923765,2.923516943,3.867827501,3.580809431,1.900949987,2.141889625,-0.615570745,1.797331765,2.330119298,0.126892152,0.51092893,no
2397,c4236,577,A0A0H2VBJ0,A0A0H2VBJ0_ECOL6,unreviewed,Gamma-glutamyltranspeptidase (EC 2.3.2.2),ggt c4236,c4236,ggt,ggt,6.679831612,6.228362182,9.306959925,4.735909248,3.655673051,6.425668874,-0.568593007,2.664219892,2.327615057,0.12709647,0.51110709,no
354,c0610,305,P0AA54,QMCA_ECOL6,reviewed,Protein QmcA,qmcA c0610,c0610,qmcA,ybbK,3.544400447,3.813282969,5.439132424,3.292034477,0.877361532,3.602268914,-0.664623784,1.868204258,2.318436077,0.127848508,0.511649073,no
2007,c3630,329,A0A0H2VAK6,A0A0H2VAK6_ECOL6,unreviewed,Uncharacterized protein,c3630,c3630,,c3630,33.53548115,30.95114676,37.46957892,48.4564373,63.60871109,33.88079952,0.516369922,5.373022053,2.319818219,0.127734953,0.511649073,no
932,c1710,337,A0A0H2V700,A0A0H2V700_ECOL6,unreviewed,Oligopeptide transport ATP-binding protein oppD,oppD c1710,c1710,oppD,oppD,11.86010919,8.89766026,12.93304821,6.064274036,4.825488428,11.19624122,-0.59839097,3.238992913,2.316762812,0.127986133,0.511649073,no
2486,c4412,463,Q8FCC1,SELA_ECOL6,reviewed,L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase),selA c4412,c4412,selA,selA,41.03325133,25.16766759,25.14087876,30.03259523,13.59910375,16.6483239,-0.589287257,4.670767563,2.31620014,0.128032449,0.511649073,no
1817,c3291,704,A0A0H2VA64,A0A0H2VA64_ECOL6,unreviewed,Formate hydrogenlyase transcriptional activator,fhlA c3291,c3291,fhlA,fhlA,6.679831612,1.715977336,2.296522579,2.714484569,1.023588454,2.044531005,-0.809578503,1.517276244,2.317111516,0.127957439,0.511649073,no
1371,c2470,1875,A0A0H2V8I0,A0A0H2V8I0_ECOL6,unreviewed,Putative peptide/polyketide synthase,c2470,c2470,,c2470,27.67358811,26.56587135,29.37131509,47.99439737,27.1982075,43.32458559,0.50732926,5.085806323,2.310353679,0.128514805,0.512934717,no
68,c0111,276,A0A0H2V4K8,A0A0H2V4K8_ECOL6,unreviewed,Cell division protein FtsQ,ftsQ c0111,c0111,ftsQ,ftsQ,88.61001118,95.90406666,120.6278702,118.9175261,236.302706,109.2363709,0.605107742,7.003611688,2.301418535,0.129255905,0.515248571,no
1988,c3594,172,A0A0H2VAH1,A0A0H2VAH1_ECOL6,unreviewed,Putative Transposase,c3594,c3594,,c3594,14.85921726,11.43984891,14.26261391,13.34140288,8.188707635,4.965289584,-0.598852401,3.506707087,2.292110483,0.130033003,0.517055265,no
379,c0669,746,A0A0H2V524,A0A0H2V524_ECOL6,unreviewed,Ferrienterobactin receptor,fepA c0669,c0669,fepA,fepA,1.499554035,1.65242262,3.384349064,2.598974587,4.97171535,2.920758579,0.663340803,1.557772596,2.292222526,0.130023618,0.517055265,no
530,c0920,441,Q8FJK5,RIMO_ECOL6,reviewed,Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO),rimO c0920,c0920,rimO,yliG,5.998216141,4.131056549,3.988697111,4.100604348,14.76891913,4.867930965,0.731655726,2.654050454,2.286260313,0.130524078,0.518362414,no
1717,c3089,242,P0A7H4,RECO_ECOL6,reviewed,DNA repair protein RecO (Recombination protein O),recO c3089,c3089,recO,recO,4.362339012,5.27504144,5.439132424,4.678154257,14.18401144,5.646799919,0.673825567,2.731035301,2.283070647,0.130792696,0.518783949,no
1375,c2477,359,Q8FGA5,COBT_ECOL6,reviewed,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase),cobT c2477,c2477,cobT,cobT,14.31392488,10.55008288,12.69130899,10.0493684,4.240580739,10.32001365,-0.588634084,3.400945075,2.274759324,0.131495537,0.5196626,no
625,c1084,702,Q8FJ88,RLMKL_ECOL6,reviewed,Ribosomal RNA large subunit methyltransferase K/L [Includes: 23S rRNA m2G2445 methyltransferase (EC 2.1.1.173) (rRNA (guanine-N(2)-)-methyltransferase RlmL); 23S rRNA m7G2069 methyltransferase (EC 2.1.1.264) (rRNA (guanine-N(7)-)-methyltransferase RlmK)],rlmL c1084,c1084,rlmL,ycbY,14.31392488,14.36336585,10.03217758,11.72426314,29.68406518,17.42719285,0.592643681,4.028439973,2.274677604,0.131502468,0.5196626,no
3110,c5530,NA,NA,NA,NA,NA,NA,NA,NA,lysZ,2.862784977,3.241290523,5.076523596,5.775499082,9.943430699,2.628682721,0.699579651,2.328035626,2.274739623,0.131497208,0.5196626,no
848,c1553,NA,NA,NA,NA,NA,NA,NA,NA,c1553,6.543508518,3.940392401,6.043480471,4.966929211,3.216992285,2.433965482,-0.596392872,2.226889448,2.272435619,0.131692792,0.519771428,no
2969,c5263,827,A0A0H2VG66,A0A0H2VG66_ECOL6,unreviewed,Ribonuclease R (RNase R) (EC 3.1.13.1),vacB rnr c5263,c5263,"vacB,rnr",vacB,158.6800816,98.0013723,102.3765592,96.2775697,67.26438414,82.46275054,-0.54382157,6.658157087,2.27019734,0.131883108,0.519879956,no
651,c1135,101,Q8FJ51,CBPM_ECOL6,reviewed,Chaperone modulatory protein CbpM,cbpM c1135,c1135,cbpM,yccD,6.9524778,3.050626375,3.021740235,3.176524495,0.73113461,3.504910295,-0.750332851,1.837082392,2.262183048,0.132567068,0.520049049,no
2324,c4128,340,A0A0H2VD21,A0A0H2VD21_ECOL6,unreviewed,Uncharacterized protein,yheT c4128,c4128,yheT,yheT,1.908523318,3.62261882,2.900870626,2.310199633,7.311346102,4.478496488,0.680148774,1.947812571,2.267576565,0.132106337,0.520049049,no
121,c0189,426,Q8FL16,GSA_ECOL6,reviewed,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",hemL gsa popC c0189,c0189,"hemL,gsa,popC",hemL,18.40361771,19.57485257,15.3504404,13.74568782,9.066069167,14.40907566,-0.512423642,3.937611054,2.262061289,0.13257749,0.520049049,no
2164,c3919,740,A0A0H2VBG8,A0A0H2VBG8_ECOL6,unreviewed,Uncharacterized protein,c3919,c3919,,c3919,4.362339012,3.30484524,3.142609845,1.790404716,2.632084597,2.920758579,-0.573084892,1.658225164,2.264395225,0.132377881,0.520049049,no
1003,c1829,61,P64449,YNBE_ECOL6,reviewed,Uncharacterized protein YnbE,ynbE c1829,c1829,ynbE,ynbE,1.908523318,1.398203755,2.05478336,2.887749541,1.754723065,3.212834437,0.608898565,1.268812743,2.257676964,0.132953368,0.520681597,no
2740,c4865,166,P0AE86,CPXP_ECOL6,reviewed,Periplasmic protein CpxP,cpxP c4865,c4865,cpxP,cpxP,7.770416365,3.114181091,3.384349064,6.122029027,6.287757648,9.443786072,0.636731621,2.621501962,2.25448285,0.133227956,0.520681597,no
1486,c2719,396,A0A0H2VAE0,A0A0H2VAE0_ECOL6,unreviewed,Bicyclomycin resistance protein,bcr c2719,c2719,bcr,bcr,6.134539235,2.79640751,3.384349064,3.176524495,2.485857675,2.141889625,-0.611205316,1.799302268,2.254734905,0.133206265,0.520681597,no
2830,c5007,309,A0A0H2VDD0,A0A0H2VDD0_ECOL6,unreviewed,Maltose operon periplasmic protein,malM c5007,c5007,malM,malM,2.453815694,1.65242262,1.813044141,2.367954624,5.556623038,1.849813767,0.693711708,1.428947265,2.24435032,0.134103221,0.522215801,no
455,c0811,522,P0ABK0,CYDA_ECOL6,reviewed,Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I),cydA c0811,c0811,cydA,cydA,233.3851371,209.9847821,155.3174481,171.1857928,52.34923809,152.171522,-0.671005166,7.345867504,2.247369006,0.133841792,0.522215801,no
115,c0183,844,A0A0H2V629,A0A0H2V629_ECOL6,unreviewed,Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase),mrcB c0183,c0183,mrcB,mrcB,42.26015918,42.70876925,46.41393002,43.25848813,88.61351476,57.34422677,0.52343052,5.741543365,2.244258675,0.134111167,0.522215801,no
7,c0011,476,A0A0H2V5R8,A0A0H2V5R8_ECOL6,unreviewed,Putative transporter yaaJ,yaaJ c0011,c0011,yaaJ,yaaJ,11.72378609,10.29586402,8.823481488,9.702838458,4.825488428,6.036234396,-0.56266407,3.137473843,2.238772182,0.134587813,0.523433478,no
684,c1206,410,A0A0H2V627,A0A0H2V627_ECOL6,unreviewed,Uncharacterized protein,c1206,c1206,,c1206,2.3174926,2.669298078,3.867827501,3.580809431,7.018892258,3.212834437,0.612055342,1.956157858,2.229605053,0.135388451,0.525906721,no
1550,c2821,184,P0AFE1,NUOJ_ECOL6,reviewed,NADH-quinone oxidoreductase subunit J (EC 1.6.5.11) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10),nuoJ c2821,c2821,nuoJ,nuoJ,59.02789975,40.67501833,34.93131712,29.28178035,28.22179596,37.38570981,-0.502817286,5.262789738,2.225922457,0.135711581,0.526521358,no
2048,c3730,164,A0A0H2VB18,A0A0H2VB18_ECOL6,unreviewed,Hydrogenase 2 maturation protease (EC 3.4.24.-),hybD c3730,c3730,hybD,hybD,7.634093271,6.355471615,5.922610862,5.60223411,4.679261506,3.310193056,-0.536424692,2.526432874,2.220351717,0.136202028,0.527143122,no
2819,c4980,229,Q8FB55,PEPE_ECOL6,reviewed,Peptidase E (EC 3.4.13.21) (Alpha-aspartyl dipeptidase) (Asp-specific dipeptidase) (Dipeptidase E),pepE c4980,c4980,pepE,pepE,7.225123988,5.147932008,3.988697111,4.562644275,3.216992285,3.115475817,-0.55801483,2.240204373,2.220505637,0.13618845,0.527143122,no
183,c0294,721,A0A0H2V4E2,A0A0H2V4E2_ECOL6,unreviewed,TonB dependent receptor,c0294 c2518,c2518,c0294,c0294,3.271754259,2.987071659,2.900870626,2.714484569,1.754723065,1.460379289,-0.57800479,1.441267518,2.211846803,0.136954632,0.529414212,no
2204,c3967,210,A0A0H2VCU5,A0A0H2VCU5_ECOL6,unreviewed,Uncharacterized protein,yrbL c3967,c3967,yrbL,yrbL,4.089692824,5.465705589,4.955653986,6.006519046,6.726438414,8.37284126,0.525660351,2.616990803,2.205518647,0.137517636,0.530306536,no
2182,c3940,390,Q8FD82,OBG_ECOL6,reviewed,GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg),obg c3940,c3940,obg,yhbZ,32.99018878,33.81110899,31.30522884,28.24219051,79.54744559,39.23552358,0.578932679,5.353170116,2.207256054,0.137362804,0.530306536,no
1504,c2745,828,Q8CVW4,NAPA_ECOL6,reviewed,Periplasmic nitrate reductase (EC 1.7.99.4),napA c2745,c2745,napA,napA,173.1303295,93.2983233,80.01568144,129.3711794,27.34443442,48.19251655,-0.754663256,6.525732827,2.203337495,0.13771229,0.530416575,no
2243,c4023,485,A0A0H2VBL9,A0A0H2VBL9_ECOL6,unreviewed,Sodium/pantothenate symporter,panF c4023,c4023,panF,panF,1.635877129,2.097305633,1.813044141,1.212854807,5.556623038,3.018117198,0.750130027,1.391252786,2.192146028,0.138715927,0.533638498,no
1520,c2777,376,A0A0H2VBE1,A0A0H2VBE1_ECOL6,unreviewed,Ribonucleoside-diphosphate reductase 1 beta chain (EC 1.17.4.1),nrdB c2777,c2777,nrdB,nrdB,18.94891008,27.20141851,17.64696298,21.71587655,30.26897286,40.59854425,0.530835186,4.714854616,2.189574747,0.138947673,0.533886787,no
2980,c5292,75,P0A7T8,RS18_ECOL6,reviewed,30S ribosomal protein S18,rpsR c5292,c5292,rpsR,rpsR,31.21798855,59.55076903,43.39218978,37.771764,92.41541473,71.55858518,0.583900005,5.810000354,2.178877395,0.139916487,0.536598954,no
501,c0877,583,A0A0H2V5F3,A0A0H2V5F3_ECOL6,unreviewed,Hypothetical ABC transporter ATP-binding protein ybhF,ybhF c0877,c0877,ybhF,ybhF,13.76863251,11.94828664,14.02087469,11.20446822,4.679261506,10.70944812,-0.559966889,3.495502414,2.178073006,0.139989643,0.536598954,no
2359,c4181,239,P0AA17,OMPR_ECOL6,reviewed,Transcriptional regulatory protein OmpR,ompR c4181,c4181,ompR,ompR,7.770416365,7.817230086,12.57043938,7.277128844,3.363219207,7.691330924,-0.596746462,2.991663288,2.173625708,0.140394883,0.537507027,no
730,c1298,179,A0A0H2V6A4,A0A0H2V6A4_ECOL6,unreviewed,Uncharacterized protein,ycdZ c1298,c1298,ycdZ,ycdZ,5.589246859,5.529260305,5.922610862,6.006519046,11.11324608,7.983406782,0.542313665,2.834171916,2.171719928,0.140568941,0.537528898,no
1652,c3000,66,Q8FF81,YPFN_ECOL6,reviewed,UPF0370 protein YpfN,ypfN c3000,c3000,ypfN,c3000,4.907631388,5.084377292,5.076523596,2.887749541,3.948126895,3.894344772,-0.509581247,2.154488751,2.16350535,0.141321975,0.539522556,no
2402,c4251,127,A0A0H2VBY9,A0A0H2VBY9_ECOL6,unreviewed,PanD maturation factor,yhhK panM c4251,c4251,"yhhK,panM",yhhK,10.49687825,8.007894234,11.6034825,8.374473669,5.849076882,6.425668874,-0.524816265,3.108829512,2.160515133,0.141597213,0.539522556,no
2339,c4153,282,A0A0H2VBE0,A0A0H2VBE0_ECOL6,unreviewed,Uncharacterized protein,yhfZ c4153,c4153,yhfZ,yhfZ,2.999108071,1.906641484,2.296522579,1.617139743,4.679261506,5.452082681,0.69422555,1.695016428,2.16174408,0.14148402,0.539522556,no
1035,c1912,565,Q8FHH1,MAO1_ECOL6,reviewed,NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38),maeA c1912,c1912,maeA,sfcA,33.67180425,31.33247506,36.38175244,22.29342646,13.59910375,33.58872366,-0.540468491,4.84192596,2.156607989,0.14195776,0.540251643,no
1741,c3119,113,P0AD50,YFIA_ECOL6,reviewed,Ribosome-associated factor Y (pY) (Ribosome associated inhibitor A),yfiA raiA c3119,c3119,"yfiA,raiA",yfiA,410.1961902,352.0295727,480.6984367,321.059994,103.6748877,353.8985811,-0.674158796,8.397281078,2.149952779,0.142574275,0.541407324,no
3024,c5371,383,A0A0H2VDT2,A0A0H2VDT2_ECOL6,unreviewed,Prophage P4 integrase,c5371,c5371,,c5371,40.62428205,45.37806733,64.42350182,40.42849358,25.00480367,40.20910977,-0.506284022,5.42262945,2.149669847,0.142600551,0.541407324,no
1680,c3034,392,A0A0H2V9M1,A0A0H2V9M1_ECOL6,unreviewed,Outer membrane protein assembly factor BamB,yfgL bamB c3034,c3034,"yfgL,bamB",yfgL,23.72021838,23.13391668,22.84435618,23.2752613,48.54733812,28.62343407,0.521696629,4.829108105,2.145428918,0.142995068,0.541617142,no
1545,c2813,580,A0A0H2VAJ3,A0A0H2VAJ3_ECOL6,unreviewed,Uncharacterized protein,yfbK c2813,c2813,yfbK,yfbK,2.999108071,4.067501833,3.988697111,6.410803981,6.287757648,3.602268914,0.54866924,2.25423011,2.146197195,0.142923507,0.541617142,no
984,c1802,299,A0A0H2V757,A0A0H2V757_ECOL6,unreviewed,Hypothetical transcriptional regulator ycjZ,c1802,c1802,,c1802,4.907631388,4.067501833,3.867827501,3.638564422,2.193403831,2.82339996,-0.525668748,1.919015113,2.140887842,0.143418868,0.542578725,no
2072,c3764,219,A0A0H2VCI3,A0A0H2VCI3_ECOL6,unreviewed,Transcriptional Regulatory protein qseB,ygiX c3764,c3764,ygiX,ygiX,2.044846412,4.067501833,3.746957892,5.833254073,3.801899973,4.965289584,0.557389338,2.120698786,2.135693156,0.143905401,0.542732123,no
1892,c3442,409,P63341,YQEG_ECOL6,reviewed,Inner membrane transport protein YqeG,yqeG c3442,c3442,yqeG,yqeG,1.499554035,1.461758471,1.813044141,2.07917967,4.533034584,1.36302067,0.692136985,1.156739476,2.136240044,0.143854092,0.542732123,no
323,c0566,593,P0AAG6,MDLB_ECOL6,reviewed,Multidrug resistance-like ATP-binding protein MdlB (EC 3.6.3.44),mdlB c0566,c0566,mdlB,mdlB,6.679831612,4.893713143,5.922610862,7.912433743,11.259473,6.328310254,0.541446266,2.864081858,2.135011931,0.143969342,0.542732123,no
333,c0582,215,P0ACT0,ACRR_ECOL6,reviewed,HTH-type transcriptional regulator AcrR (Potential acrAB operon repressor),acrR c0582,c0582,acrR,acrR,2.044846412,2.79640751,1.087826485,3.176524495,3.948126895,2.336606863,0.615494459,1.469734798,2.132465032,0.144208682,0.542993304,no
508,c0887,121,A0A0H2V5F7,A0A0H2V5F7_ECOL6,unreviewed,Uncharacterized protein,c0887,c0887,,c0887,6.27086233,10.93141118,7.856524612,11.66650815,15.64628066,9.541144691,0.53736493,3.394031699,2.118714877,0.145508595,0.544112976,no
